TIME_PERIOD,OBS_VALUE,Tau
29JAN2020,0.1082436198,24
29JAN2020,0.1251790697,25
29JAN2020,0.1408943767,26
29JAN2020,0.1555054191,27
29JAN2020,0.1691161004,28
29JAN2020,0.1818193854,29
29JAN2020,0.1936983487,30
30JAN2020,-0.641247865,1
30JAN2020,-0.667691721,2
30JAN2020,-0.66752704,3
30JAN2020,-0.647215596,4
30JAN2020,-0.612629749,5
30JAN2020,-0.56868069,6
30JAN2020,-0.519250096,7
30JAN2020,-0.467270772,8
30JAN2020,-0.414868543,9
30JAN2020,-0.36351796,10
30JAN2020,-0.314188069,11
30JAN2020,-0.267468111,12
30JAN2020,-0.223670423,13
30JAN2020,-0.182911614,14
30JAN2020,-0.145174748,15
30JAN2020,-0.110355793,16
30JAN2020,-0.07829752,17
30JAN2020,-0.048813645,18
30JAN2020,-0.021705589,19
30JAN2020,0.0032262557,20
30JAN2020,0.0261752692,21
30JAN2020,0.0473241981,22
30JAN2020,0.0668427606,23
30JAN2020,0.0848866182,24
30JAN2020,0.1015972529,25
30JAN2020,0.1171024214,26
30JAN2020,0.1315169527,27
30JAN2020,0.1449437276,28
30JAN2020,0.1574747348,29
30JAN2020,0.1691921304,30
31JAN2020,-0.653400273,1
31JAN2020,-0.679859322,2
31JAN2020,-0.682697086,3
31JAN2020,-0.666413002,4
31JAN2020,-0.635855971,5
31JAN2020,-0.595458646,6
31JAN2020,-0.548928983,7
31JAN2020,-0.499187199,8
31JAN2020,-0.448423762,9
31JAN2020,-0.39820774,10
31JAN2020,-0.349607201,11
31JAN2020,-0.303302451,12
31JAN2020,-0.259683819,13
31JAN2020,-0.218931714,14
31JAN2020,-0.181079683,15
31JAN2020,-0.14606261,16
31JAN2020,-0.113752602,17
31JAN2020,-0.083985037,18
31JAN2020,-0.056577003,19
31JAN2020,-0.031339967,20
31JAN2020,-0.008088178,21
31JAN2020,0.0133560413,22
31JAN2020,0.0331591981,23
31JAN2020,0.0514750785,24
31JAN2020,0.0684442289,25
31JAN2020,0.0841941181,26
31JAN2020,0.0988397212,27
31JAN2020,0.1124843464,28
31JAN2020,0.1252205803,29
31JAN2020,0.1371312715,30
03FEB2020,-0.657140666,1
03FEB2020,-0.690600341,2
03FEB2020,-0.695716749,3
03FEB2020,-0.67926498,4
03FEB2020,-0.647417776,5
03FEB2020,-0.605348542,6
03FEB2020,-0.557155431,7
03FEB2020,-0.505943333,8
03FEB2020,-0.453971109,9
03FEB2020,-0.402813896,10
03FEB2020,-0.353515378,11
03FEB2020,-0.306719246,12
03FEB2020,-0.262776926,13
03FEB2020,-0.22183262,14
03FEB2020,-0.183888523,15
03FEB2020,-0.148853589,16
03FEB2020,-0.116579171,17
03FEB2020,-0.086884452,18
03FEB2020,-0.059574155,19
03FEB2020,-0.034450483,20
03FEB2020,-0.011320875,21
03FEB2020,0.009997253,22
03FEB2020,0.0296738688,23
03FEB2020,0.0478651307,24
03FEB2020,0.0647131531,25
03FEB2020,0.0803463864,26
03FEB2020,0.0948803658,27
03FEB2020,0.1084186619,28
03FEB2020,0.1210539185,29
03FEB2020,0.132868903,30
04FEB2020,-0.630527466,1
04FEB2020,-0.655886286,2
04FEB2020,-0.665403548,3
04FEB2020,-0.653310189,4
04FEB2020,-0.622323185,5
04FEB2020,-0.577782782,6
04FEB2020,-0.525044059,7
04FEB2020,-0.468499442,8
04FEB2020,-0.411369004,9
04FEB2020,-0.355814044,10
04FEB2020,-0.303155684,11
04FEB2020,-0.25409927,12
04FEB2020,-0.208925727,13
04FEB2020,-0.167640033,14
04FEB2020,-0.13007952,15
04FEB2020,-0.095989207,16
04FEB2020,-0.06507197,17
04FEB2020,-0.037020482,18
04FEB2020,-0.01153642,19
04FEB2020,0.0116588956,20
04FEB2020,0.0328194443,21
04FEB2020,0.0521729366,22
04FEB2020,0.0699213236,23
04FEB2020,0.0862424492,24
04FEB2020,0.1012922501,25
04FEB2020,0.1152071367,26
04FEB2020,0.128106339,27
04FEB2020,0.1400941,28
04FEB2020,0.1512616613,29
04FEB2020,0.1616890226,30
05FEB2020,-0.626974067,1
05FEB2020,-0.647463689,2
05FEB2020,-0.652007992,3
05FEB2020,-0.635554218,4
05FEB2020,-0.600993823,5
05FEB2020,-0.553616655,6
05FEB2020,-0.498653176,7
05FEB2020,-0.440363352,8
05FEB2020,-0.381852205,9
05FEB2020,-0.325189767,10
05FEB2020,-0.271628214,11
05FEB2020,-0.221822221,12
05FEB2020,-0.176015997,13
05FEB2020,-0.134188031,14
05FEB2020,-0.096156483,15
05FEB2020,-0.061652354,16
05FEB2020,-0.030368125,17
05FEB2020,-0.001988611,18
05FEB2020,0.0237905682,19
05FEB2020,0.0472528643,20
